case,category,l1_flagged_file,l1_flagged_concept,l1_no_false_positives,l1_has_fix_block,l1_no_severity_bullets,l2_identified,l2_specificity,l2_severity_calibration,l2_conciseness,l2_false_positives
go__g-clean-extract,clean,1.0,1.0,1.0,1.0,1.0,,,,,
go__g-doc-stale-flag,doc,1.0,1.0,1.0,0.0,1.0,,,,,
go__g-ignored-unmarshal-err,logic-bug,1.0,0.6666666666666666,1.0,0.0,1.0,,,,,
go__g-leaked-file-handle,logic-bug,1.0,1.0,1.0,0.0,1.0,,,,,
go__g-missing-flag-test,missing-test,1.0,0.6666666666666666,1.0,0.0,1.0,,,,,
go__g-multi-render-and-test,multi-bug,0.0,0.0,0.0,0.0,0.0,,,,,
go__g-off-by-one-bound,logic-bug,1.0,1.0,1.0,0.0,1.0,,,,,
go__g-rejected-package-mutable,rejected-direction,1.0,0.5,1.0,0.0,1.0,,,,,
go__g-style-export-name,style,1.0,1.0,1.0,0.0,1.0,,,,,
python__p-clean-typing,clean,1.0,1.0,1.0,1.0,1.0,,,,,
python__p-doc-url-mismatch,doc,1.0,1.0,1.0,0.0,1.0,,,,,
python__p-missing-auth-delete,security,1.0,1.0,1.0,0.0,1.0,,,,,
python__p-multi-auth-and-test,multi-bug,1.0,0.75,1.0,0.0,1.0,,,,,
python__p-mutable-default-arg,logic-bug,1.0,1.0,1.0,0.0,1.0,,,,,
python__p-pydantic-loose-types,style,1.0,1.0,1.0,0.0,1.0,,,,,
python__p-rejected-globals,rejected-direction,1.0,0.75,1.0,0.0,1.0,,,,,
python__p-short-id-loop-no-cap,logic-bug,0.0,0.5,1.0,0.0,1.0,,,,,
python__p-sql-injection-stats,security,1.0,1.0,1.0,0.0,1.0,,,,,
python__p-test-only,test-only,1.0,1.0,0.0,0.0,1.0,,,,,
typescript__t-any-types-creep,style,1.0,1.0,1.0,0.0,1.0,,,,,
typescript__t-clean-theme-hook,clean,1.0,0.0,1.0,1.0,1.0,,,,,
typescript__t-debounce-removed,perf,0.0,0.0,1.0,0.0,1.0,,,,,
typescript__t-list-missing-key,style,1.0,1.0,1.0,0.0,1.0,,,,,
typescript__t-missing-shortcut-test,missing-test,0.0,0.5,1.0,0.0,1.0,,,,,
typescript__t-multi-effect-and-leak,multi-bug,0.0,0.0,0.0,0.0,0.0,,,,,
typescript__t-rejected-context-everything,rejected-direction,0.0,0.0,0.0,0.0,0.0,,,,,
typescript__t-stale-closure-effect,logic-bug,0.0,0.0,1.0,0.0,1.0,,,,,
typescript__t-xss-skip-sanitize,security,0.0,0.0,1.0,0.0,1.0,,,,,
